timestamp_unix,elapsed_sec,x_m,y_m,heading_deg,speed,steering,cds_value
1783400752.914,15.46,0.0,0.0,0.0,0,0.0,1
1783400753.027,15.57,0.0,0.0,0.0,0,0.0,1
1783400753.134,15.68,0.0,0.0,0.0,0,0.0,1
1783400753.241,15.78,0.0,0.0,0.0,0,0.0,1
1783400753.347,15.89,0.0,0.0,0.0,0,0.0,1
1783400753.454,16.0,0.0,0.0,0.0,0,0.0,1
1783400753.561,16.1,0.0,0.0,0.0,0,0.0,1
1783400753.668,16.21,0.0,0.0,0.0,0,0.0,1
1783400753.775,16.32,0.0,0.0,0.0,0,0.0,1
1783400753.881,16.42,0.0,0.0,0.0,0,0.0,1
1783400753.988,16.53,0.0,0.0,0.0,0,0.0,1
1783400754.095,16.64,0.0,0.0,0.0,0,0.0,1
1783400754.201,16.74,0.0,0.0,0.0,0,0.0,1
1783400754.308,16.85,0.0,0.0,0.0,0,0.0,1
1783400754.419,16.96,0.0,0.0,0.0,0,0.0,1
1783400754.526,17.07,0.0,0.0,0.0,0,0.0,1
1783400754.633,17.18,0.0,0.0,0.0,0,0.0,1
1783400754.743,17.29,0.0,0.0,0.0,0,0.0,1
1783400754.85,17.39,0.0,0.0,0.0,0,0.0,1
1783400754.957,17.5,0.0,0.0,0.0,0,0.0,1
1783400755.064,17.61,0.0,0.0,0.0,0,0.0,1
1783400755.171,17.71,0.0,0.0,0.0,0,0.0,1
1783400755.278,17.82,0.0,0.0,0.0,0,0.0,1
1783400755.385,17.93,0.0,0.0,0.0,0,0.0,1
1783400755.491,18.03,0.0,0.0,0.0,0,0.0,1
1783400755.598,18.14,0.0,0.0,0.0,0,0.0,1
1783400755.705,18.25,0.0,0.0,0.0,0,0.0,1
1783400755.815,18.36,0.0,0.0,0.0,0,0.0,1
1783400755.922,18.46,0.0,0.0,0.0,0,0.0,1
1783400756.029,18.57,0.0,0.0,0.0,0,0.0,1
1783400756.135,18.68,0.0,0.0,0.0,0,0.0,1
1783400756.242,18.78,0.0,0.0,0.0,0,0.0,1
1783400756.349,18.89,0.0,0.0,0.0,0,0.0,1
1783400756.456,19.0,0.0,0.0,0.0,0,0.0,1
1783400756.563,19.1,0.0,0.0,0.0,0,0.0,1
1783400756.67,19.21,0.0,0.0,0.0,0,0.0,1
1783400756.776,19.32,0.0,0.0,0.0,0,0.0,1
1783400756.883,19.43,0.0,0.0,0.0,0,0.0,1
1783400756.99,19.53,0.0,0.0,0.0,0,0.0,1
1783400757.097,19.64,0.05391715752958048,0.0,0.0,50,0.0,1
1783400757.204,19.75,0.10784744012235392,0.0,0.0,50,0.0,1
1783400757.311,19.85,0.16176028669515358,0.0013230562363892003,1.4057934411146684,50,1.0,1
1783400757.419,19.96,0.21632631546913583,0.004020350651612309,2.8299273034187844,50,1.0,1
1783400757.533,20.08,0.27390188671050525,0.008384933551202924,4.335081694858962,50,1.0,1
1783400757.64,20.18,0.32758247234111604,0.013782195218496645,5.741452688172648,50,1.0,1
1783400757.747,20.29,0.38126533150999803,0.02051804155622939,7.151800630595871,50,1.0,1
1783400757.854,20.4,0.4346565253360858,0.02855386145725066,8.559248256541421,50,1.0,1
1783400757.961,20.5,0.48776598140861205,0.03788493056600503,9.9648816152531,50,1.0,1
1783400758.068,20.61,0.541125795467738,0.04725998633641339,9.9648816152531,50,0.0,1
1783400758.175,20.72,0.5943364146679618,0.05660882930702983,9.9648816152531,50,0.0,1
1783400758.282,20.82,0.647448479871566,0.0659403568272273,9.9648816152531,50,0.0,1
1783400758.389,20.93,0.7006184203463498,0.07528205274670813,9.9648816152531,50,0.0,1
1783400758.496,21.04,0.7538594003445696,0.08463622995957158,9.9648816152531,50,0.0,1
1783400758.603,21.14,0.807010365320606,0.09397459197764801,9.9648816152531,50,0.0,1
1783400758.709,21.25,0.8601079617064151,0.10330357739802465,9.9648816152531,50,0.0,1
1783400758.816,21.36,0.913296521889345,0.11264854470825851,9.9648816152531,50,0.0,1
1783400758.926,21.47,0.9677190824751971,0.12221031979419571,9.9648816152531,50,0.0,1
1783400759.033,21.57,1.0208541554710324,0.13154588966984598,9.9648816152531,50,0.0,1
1783400759.139,21.68,1.0740345324701275,0.1408894192350992,9.9648816152531,50,0.0,1
1783400759.246,21.79,1.127151104354684,0.1502217385568802,9.9648816152531,50,0.0,1
1783400759.353,21.9,1.1803407319094184,0.15956689339906804,9.9648816152531,50,0.0,1
1783400759.46,22.0,1.233501421828563,0.16890696404161423,9.9648816152531,50,0.0,1
1783400759.567,22.11,1.2867483316701414,0.17826218309866654,9.9648816152531,50,0.0,1
1783400759.674,22.22,1.339882100100438,0.18759752376859526,9.9648816152531,50,0.0,1
1783400759.781,22.32,1.3929668880245925,0.19692425880552394,9.9648816152531,50,0.0,1
1783400759.887,22.43,1.4460822739404773,0.20625636975846717,9.9648816152531,50,0.0,1
1783400759.996,22.54,1.5001174971581464,0.21575009158198755,9.9648816152531,50,0.0,1
1783400760.103,22.64,1.5532109426536045,0.22507834771143198,9.9648816152531,50,0.0,1
1783400760.21,22.75,1.6064219176444299,0.23442725319269975,9.9648816152531,50,0.0,1
1783400760.325,22.87,1.6635610580697187,0.24446631793844095,9.9648816152531,50,0.0,1
1783400760.435,22.98,1.7180540600760434,0.25546792676913677,11.414035415483125,50,1.0,1
1783400760.542,23.08,1.7708264514140335,0.26748161415982946,12.824873021727257,50,1.0,1
1783400760.649,23.19,1.8230994976648236,0.2807384714344628,14.230635074135456,50,1.0,1
1783400760.755,23.3,1.8750740785635946,0.295286765152116,15.637555369812338,50,1.0,1
1783400760.862,23.4,1.926685842295204,0.3111101557110246,17.04475188610614,50,1.0,1
1783400760.969,23.51,1.9778276334342495,0.32817247174531117,18.450124718554132,50,1.0,1
1783400761.076,23.62,2.0285344492502624,0.34648351824116486,19.85546616229566,50,1.0,1
1783400761.183,23.72,2.07884572662708,0.36606139451146696,21.262750566967572,50,1.0,1
1783400761.29,23.83,2.1286390162319853,0.3868591466006695,22.66940719751012,50,1.0,1
1783400761.397,23.94,2.1779703576973626,0.4089032906422921,24.077900067381066,50,1.0,1
1783400761.503,24.05,2.2266817758864628,0.432121320988234,25.484547281311674,50,1.0,1
1783400761.61,24.15,2.2748858678754225,0.45656975866511995,26.893482731943823,50,1.0,1
1783400761.724,24.27,2.325417141316488,0.4838814233904082,28.39079308563756,50,1.0,1
1783400761.831,24.37,2.372233940485325,0.5106905287915906,29.797116995891546,50,1.0,1
1783400761.938,24.48,2.4184008949684315,0.5386547769860606,31.204128318817183,50,1.0,1
1783400762.045,24.59,2.4638343349120326,0.5677219640895901,32.61010381442937,50,1.0,1
1783400762.151,24.69,2.5085366705450807,0.5978921730571947,34.015944338603745,50,1.0,1
1783400762.258,24.8,2.5524491000880114,0.6291228856946702,35.420604647414905,50,1.0,1
